1,pick_lat,pick_lng
214,17.3987179,78.4854813
215,17.3668327,78.5164871
216,17.4085026,78.4896622
217,17.4021301,78.4636383
218,17.4155273,78.4404602
219,17.4377918,78.4566803
220,17.4444675,78.387207
221,17.3853798,78.4839325
222,17.3957615,78.5146942
223,17.4459934,78.377182
224,17.3853493,78.4478607
225,17.4138298,78.4459381
226,17.4440994,78.3873367
227,17.4292393,78.4334946
228,17.4387798,78.4289551
229,17.4549904,78.3700104
230,17.4246502,78.4321365
231,17.4205647,78.4334641
232,17.4865475,78.3859863
233,17.4392662,78.3961258
234,17.4927902,78.3976669
235,17.4576664,78.3736649
236,17.4349422,78.5008316
237,17.4420395,78.382309
238,17.4076672,78.4408417
239,17.4559269,78.3775864
240,17.418539,78.4031448
241,17.4041634,78.4643555
242,17.4427757,78.3825989
243,17.4075489,78.4406586
244,17.4323769,78.3820496
245,17.4124165,78.4104156
246,17.4622936,78.3672028
247,17.4916172,78.3932571
248,17.4458904,78.3598404
249,17.4515209,78.3703766
250,17.4107132,78.3935394
251,17.43853,78.394989
252,17.3732948,78.4827194
253,17.4093189,78.3305206
254,17.450201,78.3890533
255,17.3988056,78.415451
256,17.4425011,78.3875961
257,17.4478855,78.3745651
258,17.4359837,78.4494858
259,17.426878,78.4316177
260,17.4271317,78.415802
261,17.445179,78.3923798
262,17.426693,78.3764877
263,17.4740753,78.3639832
264,17.4374371,78.4433212
265,17.4433098,78.4776688
266,17.454277,78.3646545
267,17.4172821,78.3763351
268,17.3850269,78.4298477
269,17.42383,78.4248276
270,17.4571915,78.3707962
271,17.4267349,78.3765411
272,17.3571987,78.5407944
273,17.3930511,78.4643707
274,17.4737434,78.3693008
275,17.4240475,78.4284439
276,17.4480438,78.3883133
277,17.4256306,78.4492645
278,17.460577,78.3542404
279,17.4987583,78.3904953
280,17.4267101,78.4388504
281,17.4483242,78.3542404
282,17.4799824,78.3200226
283,17.3906212,78.4890518
284,17.3871574,78.4342499
285,17.4063644,78.412117
286,17.4083023,78.47229
287,17.440279,78.5002823
288,17.4093781,78.4508972
289,17.4106121,78.4876709
290,17.4260654,78.421402
291,17.4359035,78.4014893
292,17.4839745,78.3601456
293,17.437212,78.5003433
294,17.4112244,78.431015
295,17.4438591,78.3873672
296,17.4276237,78.4318466
297,17.4092979,78.4510498
298,17.4470348,78.3730164
299,17.4526005,78.397049
300,17.4317379,78.3785172
301,17.4383698,78.4926453
302,17.3995705,78.537529
303,17.4261589,78.4212418
304,17.4220314,78.4321442
305,17.4464645,78.3910141
306,17.438961,78.3866043
307,17.4159584,78.4350815
308,17.4015732,78.4910355
309,17.4221325,78.3383255
310,17.4852962,78.3985977
311,17.4315758,78.3783646
312,17.4001598,78.4781342
313,17.4325981,78.4186249
314,17.4407768,78.3886795
315,17.4071198,78.5437775
316,17.4438133,78.3743973
317,17.3894386,78.5082321
318,17.4123383,78.5182571
319,17.4411774,78.3601227
320,17.4428215,78.3676071
321,17.4427834,78.3696365
322,17.4488163,78.363739
323,17.439209,78.3960495
324,17.4144707,78.4454041
325,17.4232712,78.42659
326,17.4469585,78.3743973
327,17.3947067,78.440094
328,17.4387913,78.3810501
329,17.391983,78.4801331
330,17.4113274,78.484848
331,17.4324265,78.4184265
332,17.4500122,78.3726578
333,17.4373989,78.3830719
334,17.4563293,78.3773499
335,17.4272766,78.5093231
336,17.4181995,78.4572372
337,17.4352951,78.4548645
338,17.4020081,78.4841385
339,17.442749,78.3698883
340,17.4680519,78.3415146
341,17.4057331,78.4793243
342,17.4671783,78.3809814
343,17.4448566,78.3836441
344,17.3904266,78.4825592
345,17.4186592,78.4028473
346,17.4366417,78.4442291
347,17.4426537,78.4417267
348,17.4504261,78.4370117
349,17.4406528,78.4972
350,17.4037151,78.4530182
351,17.4471512,78.3777771
352,17.4867134,78.3738556
353,17.4428539,78.3697968
354,17.4101028,78.4391937
355,17.4035187,78.4655533
356,17.4402199,78.4899597
357,17.4469147,78.372963
358,17.4206009,78.4562988
359,17.4928608,78.4000854
360,17.4051895,78.489502
361,17.4586201,78.3857498
362,17.3911858,78.4415131
363,17.4097004,78.4501877
364,17.4427109,78.3697968
365,17.352932,78.5546112
366,17.4108448,78.4989471
367,17.4427853,78.39608
368,17.4370537,78.3851013
369,17.4360104,78.4304886
370,17.4426861,78.3695221
371,17.469532,78.3856659
372,17.3732586,78.5113678
373,17.4428883,78.3799515
374,17.4233265,78.4291153
375,17.4011841,78.3865356
376,17.4031487,78.4672623
377,17.4260044,78.4371872
378,17.4355316,78.4117661
379,17.4590588,78.4239197
380,17.4548607,78.3856125
381,17.4345398,78.4031219
382,17.4076328,78.4408264
383,17.4401379,78.385788
384,17.4131031,78.4588318
385,17.4708672,78.3888245
386,17.4971046,78.3865738
387,17.4474392,78.3758926
388,17.3592854,78.504715
389,17.4115314,78.4079208
